,Chapter,Question
0,Chapter 415605,"16. The first three enumerators of an enum type are normally represented by the values _________ ,_________ ,and _________ ."
1,Chapter 415605,"17. Write a statement that declares an enumeration called speeds with the enumerators obsolete ,single ,and album . Give these three names the integer values 78, 45, and 33.Structures 4STRUCTURES15705 3087 CH04 11/29/01 2:23 PM Page 157"
2,Chapter 415605,"18. State the reason that enum isWord{ NO, YES }; is better than enum isWord{ YES, NO }; Exercises Answers to the starred exercises can be found in"
3,Chapter 625607,6. 9. Member functions defined inside a class definition are ________ by default.
4,Chapter 625607,10. Write a member function called getcrow() for the leverage class described in Question
5,Chapter 625607,4. This function should return the value of the crowbar data. Assume the function is defined within the class definition.
6,Chapter 625607,"11. A constructor is executed automatically when an object is ________.12. A constructor’s name is the same as _________.13. Write a constructor that initializes to 0 the crowbar data, a member of the leverage class described in Question 4. Assume that the constructor is defined within the class defini- tion."
7,Chapter 625607,14. True or false: In a class you can have more than one constructor with the same name.
8,Chapter 625607,15. A member function can always access the data a. in the object of which it is a member. b. in the class of which it is a member. c. in any object of the class of which it is a member. d. in the public part of its class.
9,Chapter 625607,16. Assume that the member function getcrow() described in Question 10 is defined outside the class definition. Write the declaration that goes inside the class definition.
10,Chapter 942410,"5. Derive a class called employee2 from the employee class in the EMPLOY program in this chapter. This new class should add a type double data item called compensation ,and also an enum type called period to indicate whether the employee is paid hourly, weekly, or monthly. For simplicity you can change the manager ,scientist ,and laborer classes so they are derived from employee2 instead of employee . However, note that in many circumstances it might be more in the spirit of OOP to create a separate base class called compensation and three new classes manager2 ,scientist2 ,and laborer2 ,and use multiple inheritance to derive these three classes from the original manager ,scientist , andlaborer classes and from compensation . This way none of the original classes needs to be modified."
11,Chapter 942410,6. Start with the ARROVER 3 program in
12,Chapter 1262813,8. Starting with the LINKLIST program in
13,Chapter 1,"1. procedural, object-oriented"
14,Chapter 1,"2. b3. data, act on that data4. a5. data hiding6. a, d7. objects8. false; the organizational principles are different9. encapsulation"
15,Chapter 1,10. d
16,Chapter 1,"11. false; most lines of code are the same in C and C++12. polymorphism13. d14. b15. b, d"
17,Chapter 2,"1. b, c2. parentheses3. braces { }4. It’s the first function executed when the program starts"
18,Chapter 2,5. statement
19,Chapter 2,6. // this is a comment /* this is a comment */
20,Chapter 2,"7. a, d24 3087 App G 11/29/01 2:22 PM Page 914"
21,Chapter 2,8. a. 4 b. 10 c. 4d. 4
22,Chapter 2,9. false
23,Chapter 2,10. a. integer constant b. character constant c. floating-point constantd. variable name or identifiere. function name
24,Chapter 2,11. a. cout << ‘x’; b. cout << “Jim”; c.cout << 509;
25,Chapter 2,12. false; they’re not equal until the statement is executed13. cout << setw(10) << george;
26,Chapter 2,14. IOSTREAM
27,Chapter 2,16. IOMANIP
