Chapter,Question
Chapter 415605,"16. The first three enumerators of an enum type are normally represented by the values _________ ,_________ ,and _________ ."
Chapter 415605,"17. Write a statement that declares an enumeration called speeds with the enumerators obsolete ,single ,and album . Give these three names the integer values 78, 45, and 33.Structures 4STRUCTURES15705 3087 CH04 11/29/01 2:23 PM Page 157"
Chapter 415605,"18. State the reason that enum isWord{ NO, YES }; is better than enum isWord{ YES, NO }; Exercises Answers to the starred exercises can be found in"
Chapter 625607,6. 9. Member functions defined inside a class definition are ________ by default.
Chapter 625607,10. Write a member function called getcrow() for the leverage class described in Question
Chapter 625607,4. This function should return the value of the crowbar data. Assume the function is defined within the class definition.
Chapter 625607,"11. A constructor is executed automatically when an object is ________.12. A constructor’s name is the same as _________.13. Write a constructor that initializes to 0 the crowbar data, a member of the leverage class described in Question 4. Assume that the constructor is defined within the class defini- tion."
Chapter 625607,14. True or false: In a class you can have more than one constructor with the same name.
Chapter 625607,15. A member function can always access the data a. in the object of which it is a member. b. in the class of which it is a member. c. in any object of the class of which it is a member. d. in the public part of its class.
Chapter 625607,16. Assume that the member function getcrow() described in Question 10 is defined outside the class definition. Write the declaration that goes inside the class definition.
Chapter 942410,"5. Derive a class called employee2 from the employee class in the EMPLOY program in this chapter. This new class should add a type double data item called compensation ,and also an enum type called period to indicate whether the employee is paid hourly, weekly, or monthly. For simplicity you can change the manager ,scientist ,and laborer classes so they are derived from employee2 instead of employee . However, note that in many circumstances it might be more in the spirit of OOP to create a separate base class called compensation and three new classes manager2 ,scientist2 ,and laborer2 ,and use multiple inheritance to derive these three classes from the original manager ,scientist , andlaborer classes and from compensation . This way none of the original classes needs to be modified."
Chapter 942410,6. Start with the ARROVER 3 program in
Chapter 1262813,8. Starting with the LINKLIST program in
Chapter 1,"1. procedural, object-oriented"
Chapter 1,"2. b3. data, act on that data4. a5. data hiding6. a, d7. objects8. false; the organizational principles are different9. encapsulation"
Chapter 1,10. d
Chapter 1,"11. false; most lines of code are the same in C and C++12. polymorphism13. d14. b15. b, d"
Chapter 2,"1. b, c2. parentheses3. braces { }4. It’s the first function executed when the program starts"
Chapter 2,5. statement
Chapter 2,6. // this is a comment /* this is a comment */
Chapter 2,"7. a, d24 3087 App G 11/29/01 2:22 PM Page 914"
Chapter 2,8. a. 4 b. 10 c. 4d. 4
Chapter 2,9. false
Chapter 2,10. a. integer constant b. character constant c. floating-point constantd. variable name or identifiere. function name
Chapter 2,11. a. cout << ‘x’; b. cout << “Jim”; c.cout << 509;
Chapter 2,12. false; they’re not equal until the statement is executed13. cout << setw(10) << george;
Chapter 2,14. IOSTREAM
Chapter 2,16. IOMANIP
Chapter 2,"17. string constants, preprocessor directives18. true19. 220. assignment ( =) and arithmetic (like +and*)"
Chapter 2,21. temp += 23; temp = temp + 23;
Chapter 2,22. 1
Chapter 2,23. 2020
Chapter 2,"24. to provide declarations and other data for library functions, overloaded operators, and objects"
Chapter 2,25. libraryAnswers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES91524 3087 App G 11/29/01 2:22 PM Page 915 Solutions to Exercises
Chapter 2,"1. // ex2_1.cpp // converts gallons to cubic feet#include <iostream>using namespace std; int main() { float gallons, cufeet; cout << “\nEnter quantity in gallons: “; cin >> gallons;cufeet = gallons / 7.481;cout << “Equivalent in cublic feet is “ << cufeet << endl;return 0;}"
Chapter 2,2. // ex2_2.cpp// generates table#include <iostream>#include <iomanip>using namespace std; int main() { cout << 1990 << setw(8) << 135 << endl << 1991 << setw(8) << 7290 << endl<< 1992 << setw(8) << 11300 << endl<< 1993 << setw(8) << 16200 << endl; return 0;}
Chapter 2,3. // ex2_3.cpp// exercises arithmetic assignment and decrement#include <iostream>using namespace std; int main() { int var = 10;
Chapter 3,"1. b, c"
Chapter 3,"3. –1 is true; only 0 is false.4. The initialize expression initializes the loop variable, the test expression tests the loop variable, and the increment expression changes the loop variable."
Chapter 3,"5. c, d6. true7. for(int j=100; j<=110; j++) cout << endl << j;"
Chapter 3,8. braces (curly brackets)9. c
Chapter 3,10. int j = 100; while( j <= 110 ) cout << endl << j++;
Chapter 3,11. false
Chapter 3,12. at least once13. int j = 100; do cout << endl << j++; while( j <= 110 );
Chapter 3,14. if(age > 21) cout << “Yes”;
Chapter 3,15. dAnswers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES91724 3087 App G 11/29/01 2:22 PM Page 917
Chapter 3,16. if( age > 21 ) cout << “Yes”; else cout << “No”;
Chapter 3,"17. a, c"
Chapter 3,"19. preceding, surrounded by braces20. reformatting"
Chapter 3,21. switch(ch) {case ‘y’: cout << “Yes”;break; case ‘n’: cout << “No”;break; default: cout << “Unknown response”; }
Chapter 3,23. d
Chapter 3,"25. unary, arithmetic, relational, logical, conditional, assignment26. d"
Chapter 3,27. the top of the loop28. b Solutions to Exercises
Chapter 3,1. // ex3_1.cpp // displays multiples of a number#include <iostream>#include <iomanip> //for setw()using namespace std; int main() {
Chapter 3,3. // ex3_3.cpp // makes a number out of digits#include <iostream>using namespace std;#include <conio.h> //for getche() int main() { char ch;unsigned long total = 0; //this holds the number cout << “\nEnter a number: “; while( (ch=getche()) != ‘\r’ ) //quit on Enter total = total*10 + ch-’0’; //add digit to total*10 cout << “\nNumber is: “ << total << endl;return 0;}
Chapter 3,"4. // ex3_4.cpp// models four-function calculator#include <iostream>using namespace std; int main() { double n1, n2, ans;char oper, ch; do { cout << “\nEnter first number, operator, second number: “; cin >> n1 >> oper >> n2;switch(oper) {case ‘+’: ans = n1 + n2; break;case ‘-’: ans = n1 - n2; break;case ‘*’: ans = n1 * n2; break;case ‘/’: ans = n1 / n2; break;default: ans = 0;} cout << “Answer = “ << ans;cout << “\nDo another (Enter ‘y’ or ‘n’)? “;cin >> ch;} while( ch != ‘n’ ); return 0;}"
Chapter 4,"1. b, d"
Chapter 4,2. true3. semicolon4. struct time { int hrs;int mins;int secs;};
Chapter 4,5. false; only a variable definition creates space in memory
Chapter 4,6. c7. time2.hrs = 11;
Chapter 4,"8. 18 in 16-bit systems (3 structures times 3 integers times 2 bytes), or 36 in 32-bit systems9. time time1 = { 11, 10, 59 };"
Chapter 4,10. true11. temp = fido.dogs.paw;
Chapter 4,"12. c13. enum players { B1, B2, SS, B3, RF, CF, LF, P, C };"
Chapter 4,"14. players joe, tom; joe = LF;tom = P;"
Chapter 4,15. a. no b. yes c. no d. yes
Chapter 4,"16. 0, 1, 217. enum speeds { obsolete=78, single=45, album=33 };"
Chapter 4,18. because false should be represented by 0Answers to Questions and Exercises GANSWERS TO QUESTIONS AND EXERCISES92124 3087 App G 11/29/01 2:22 PM Page 921 Solutions to Exercises
Chapter 4,"1. // ex4_1.cpp // uses structure to store phone number#include <iostream>using namespace std;////////////////////////////////////////////////////////////////struct phone {int area; //area code (3 digits)int exchange; //exchange (3 digits)int number; //number (4 digits)}; ////////////////////////////////////////////////////////////////int main() {phone ph1 = { 212, 767, 8900 }; //initialize phone numberphone ph2; //define phone number // get phone no from user cout << “\nEnter your area code, exchange, and number”;cout << “\n(Don’t use leading zeros): “;cin >> ph2.area >> ph2.exchange >> ph2.number; cout << “\nMy number is “ //display numbers << ‘(‘ << ph1.area << “) “ << ph1.exchange << ‘-’ << ph1.number; cout << “\nYour number is “ << ‘(‘ << ph2.area << “) “<< ph2.exchange << ‘-’ << ph2.number << endl; return 0;}"
Chapter 4,2. // ex4_2.cpp// structure models point on the plane#include <iostream>using namespace std;////////////////////////////////////////////////////////////////struct point {int xCo; //X coordinateint yCo; //Y coordinate}; ////////////////////////////////////////////////////////////////
Chapter 5,1. d (half credit for b)
Chapter 5,2. definition3. void foo() { cout << “foo”;}
Chapter 5,"4. declaration, prototype"
Chapter 5,5. body6. call7. declarator8. c9. false
Chapter 5,"10. To clarify the purpose of the arguments11. a, b, c12. Empty parentheses mean the function takes no arguments13. one14. Ttrue15. at the beginning of the declaration and declarator16. void"
Chapter 5,17. main() { int times2(int); // prototypeint alpha = times2(37); // function call}
Chapter 5,18. d
Chapter 5,"19. to modify the original argument (or to avoid copying a large argument)20. a, c21. int bar(char); int bar(char, char);"
